щКЕЛЕМЕР; нАЫЕЕ ЙНКХВЕЯРБН; нАЫХИ ОПНЖЕМР; бЕЯ ЙНЩТТХЖХЕМРЮ 
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Chyornyj suprematicheskij kvadrat_1915.png;23;0.912698;12089.3
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Kompoziciya s rozovym krestom_1928_Chashnik.png;152;6.03175;42.9497
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Kompoziciya s zhyoltoj polosoj_1920-e_Suetin.png;179;7.10317;6.5536
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Krasnyj kvadrat_1915.png;68;2.69841;1152.92
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Proun E1 (Gorod)_1919_Lisickij.png;160;6.34921;68.7195
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Proun _1923_Lisickij.png;105;4.16667;109.951
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Risunok cvetom_1917_Rozanova.png;219;8.69048;2.56
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Suprematicheskaya kompoziciya_1916.png;29;1.15079;7555.79
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Suprematicheskaya kompoziciya_1916_2.png;112;4.44444;175.922
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Suprematicheskaya kompoziciya_1920-e_Chashnik.png;196;7.77778;26.8435
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Suprematicheskaya kompoziciya_1923_Chashnik.png;207;8.21429;10.4858
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Suprematicheskaya kompoziciya_Chashnik.png;180;7.14286;16.7772
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Suprematicheskoe postroenie cveta_1929.png;68;2.69841;720.576
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Suprematizm docheri.png;259;10.2778;1.6
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Suprematizm_1915.png;93;3.69048;281.475
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Suprematizm_1918.png;55;2.18254;1844.67
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/3/Zhyoltyj krest_1923_Hidekel'.png;245;9.72222;4.096
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Bajker.png;200;7.93651;6.5536
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Bandit.png;21;0.833333;12089.3
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Huk.png;152;6.03175;16.7772
